"Date","Price","Open","High","Low","Vol.","Change %"
"2025- 01- 24","54.83","55.06","55.12","54.76","121.24K","-0.42%"
"2025- 01- 23","55.06","54.70","55.06","54.70","177.54K","0.47%"
"2025- 01- 22","54.80","54.71","54.89","54.70","79.30K","0.55%"
"2025- 01- 21","54.50","54.29","54.50","54.12","462.60K","0.66%"
"2025- 01- 17","54.14","54.22","54.33","54.01","169.78K","0.95%"
"2025- 01- 16","53.63","53.93","53.93","53.56","141.14K","-0.41%"
"2025- 01- 15","53.85","53.55","53.93","53.51","141.31K","1.95%"
"2025- 01- 14","52.82","53.08","53.13","52.54","176.89K","-0.02%"
"2025- 01- 13","52.83","52.18","52.84","52.14","239.35K","0.23%"
"2025- 01- 10","52.71","53.26","53.26","52.55","139.35K","-1.53%"
"2025- 01- 08","53.53","53.51","53.63","53.19","211.97K","0.09%"
"2025- 01- 07","53.48","54.31","54.33","53.34","184.19K","-1.13%"
"2025- 01- 06","54.09","54.17","54.54","53.93","206.80K","0.58%"
"2025- 01- 03","53.78","53.30","53.80","53.25","140.64K","1.32%"
"2025- 01- 02","53.08","53.51","53.60","52.72","147.08K","-0.36%"
"2024- 12- 31","53.27","53.67","53.71","53.14","209.30K","-0.41%"
"2024- 12- 30","53.49","53.51","53.82","53.22","91.23K","-1.02%"
"2024- 12- 27","54.04","54.39","54.39","53.72","143.49K","-1.19%"
"2024- 12- 26","54.69","54.50","54.74","54.43","83.40K","-0.02%"
"2024- 12- 24","54.70","54.14","54.73","54.14","152.63K","1.09%"
"2024- 12- 23","54.11","53.78","54.16","53.45","207.71K","0.59%"
"2024- 12- 20","53.79","52.87","54.14","52.80","139.29K","1.00%"
"2024- 12- 19","53.26","53.79","53.89","53.26","309.11K","-0.08%"
"2024- 12- 18","53.30","54.88","55.14","53.30","202.78K","-2.84%"
"2024- 12- 17","54.86","54.74","54.92","54.72","339.37K","-0.16%"
"2024- 12- 16","54.95","55.01","55.07","54.88","208.71K","0.09%"
"2024- 12- 13","54.90","55.22","55.22","54.81","408.54K","-0.45%"
"2024- 12- 12","55.15","55.42","55.42","55.13","123.38K","-0.51%"
"2024- 12- 11","55.43","55.27","55.53","55.27","100.22K","0.67%"
"2024- 12- 10","55.06","55.32","55.32","55.03","202.35K","-0.18%"
"2024- 12- 09","55.16","55.35","55.35","55.10","212.67K","-0.38%"
"2024- 12- 06","55.37","55.53","55.62","55.33","76.36K","-0.14%"
"2024- 12- 05","55.45","55.58","55.60","55.42","84.10K","-0.18%"
"2024- 12- 04","55.55","55.37","55.56","55.25","96.63K","0.62%"
"2024- 12- 03","55.21","55.25","55.25","55.08","164.89K","0.04%"
"2024- 12- 02","55.19","55.15","55.26","55.08","97.65K","0.25%"
